temps
9.5800
9.6875
9.6925
9.7200
9.7400
9.7800
9.7900
9.8000
9.8200
9.8362
9.8387
9.8412
9.8437
9.8467
9.8500
9.8533
9.8558
9.8575
9.8592
9.8608
9.8625
9.8642
9.8675
9.8725
9.8763
9.8788
9.8812
9.8837
9.8863
9.8887
9.8912
9.8937
9.9000
9.9056
9.9069
9.9081
9.9094
9.9106
9.9119
9.9131
9.9144
9.9157
9.9171
9.9186
9.9200
9.9214
9.9229
9.9243
9.9256
9.9269
9.9281
9.9294
9.9306
9.9319
9.9331
9.9344
9.9360
9.9380
9.9400
9.9420
9.9440
9.9454
9.9462
9.9471
9.9479
9.9487
9.9496
9.9504
9.9512
9.9521
9.9529
9.9537
9.9546
9.9554
9.9562
9.9569
9.9577
9.9585
9.9592
9.9600
9.9608
9.9615
9.9623
9.9631
9.9638
9.9646
9.9658
9.9675
9.9692
9.9708
9.9725
9.9742
9.9755
9.9764
9.9773
9.9782
9.9791
9.9800
9.9809
9.9818
9.9827
9.9836
9.9845
9.9853
9.9859
9.9866
9.9872
9.9878
9.9884
9.9891
9.9897
9.9903
9.9909
9.9916
9.9922
9.9928
9.9934
9.9941
9.9947
9.9954
9.9961
9.9968
9.9975
9.9982
9.9989
9.9996
10.0004
10.0011
10.0018
10.0025
10.0032
10.0039
10.0046
10.0054
10.0061
10.0068
10.0075
10.0082
10.0089
10.0096
10.0104
10.0111
10.0118
10.0125
10.0132
10.0139
10.0146
10.0154
10.0162
10.0169
10.0177
10.0185
10.0192
10.0200
10.0208
10.0215
10.0223
10.0231
10.0238
10.0246
10.0254
10.0261
10.0268
10.0275
10.0282
10.0289
10.0296
10.0304
10.0311
10.0318
10.0325
10.0332
10.0339
10.0346
10.0353
10.0359
10.0365
10.0371
10.0376
10.0382
10.0388
10.0394
10.0400
10.0406
10.0412
10.0418
10.0424
10.0429
10.0435
10.0441
10.0447
10.0454
10.0463
10.0471
10.0479
10.0488
10.0496
10.0504
10.0512
10.0521
10.0529
10.0537
10.0546
10.0552
10.0555
10.0559
10.0562
10.0566
10.0569
10.0572
10.0576
10.0579
10.0583
10.0586
10.0590
10.0593
10.0597
10.0600
10.0603
10.0607
10.0610
10.0614
10.0617
10.0621
10.0624
10.0628
10.0631
